List of ingredients,Recipe Name,Time Required (minutes),Style,Recipe (How to Make),Protein (g),Carbohydrates (g),Fats (g),Sides
"Rice, Yogurt, Cucumber, Mustard Seeds",Curd Rice Balls,25,South Indian,"Mix cooked rice, curd, mustard seeds, curry leaves, and green chilies. Shape into balls and refrigerate before serving.",24.6,21,6,Milkshake
"Pasta, Cheese, Indian Spices",Masala Mac & Cheese,25,Indo-Western,"Cook macaroni. Make a sauce with butter, flour, milk, cheese, and spices. Mix with macaroni and serve hot.",3.4,31,9,Sweet Lassi
"Ripe Banana, Rice Flour, Jaggery",Banana Fritters (Pazham Pori),20,Kerala,"Slice ripe bananas. Dip in batter made with flour, sugar, and turmeric. Deep-fry until golden.",14.6,15,4,Fruit Juice
"Chickpeas, Tamarind, Spices",Chole Nachos,30,Indian-Mexican,"Cook chickpeas with onions, tomatoes, and spices. Layer on nachos with cheese and bake until melted. Top with jalapenos and sour cream.",26.3,20,7,Milkshake
"Egg, Bread, Spices",Masala French Toast,15,Indo-French,"Beat eggs with milk, spices, and chopped onions. Dip bread slices and fry until golden.",4.8,39,11,Mango Lassi
"Tofu, Spinach, Spices",Tofu Tikka,30,Indian,"Marinate tofu cubes in yogurt, spices, and lemon. Grill or pan-fry until crisp. Serve with mint chutney.",28,27,6,Soft Drink
"Coconut, Sugar, Rice Flour",Thai Coconut Pancakes,25,Thai,"Mix rice flour, coconut milk, sugar, and salt into a batter. Pour into small molds and cook until set.",20.5,28,3,Soft Drink
"Matcha, Milk, Sugar, Gelatin",Matcha Pudding,30,Japanese,Mix matcha powder with warm milk. Add sugar and agar-agar. Pour into molds and refrigerate until set.,15.2,29,4,Fruit Juice
"Mango, Sticky Rice, Coconut Milk",Mango Sticky Rice,40,Thai,Cook glutinous rice. Heat coconut milk with sugar and salt. Mix with rice and serve with ripe mango slices.,7,17,3,Fruit Juice
"Almonds, Honey, Phyllo Dough",Baklava,45,Middle Eastern,Layer phyllo dough with butter and nuts. Bake until golden. Pour sugar syrup flavored with rose water over it.,9,27,3,Milkshake
"Black Sesame, Sugar, Rice Flour",Black Sesame Mochi,35,Japanese,"Mix glutinous rice flour, sugar, and water into a dough. Fill with black sesame paste and steam.",28.6,23,3,Milkshake
"Custard, Caramel, Eggs",Flan,50,Spanish,"Caramelize sugar in a mold. Mix eggs, condensed milk, and vanilla. Pour into the mold and bake in a water bath until set.",15.9,18,7,Kulfi
"Strawberries, Yogurt, Honey",Greek Strawberry Yogurt Parfait,15,Greek," Layer Greek yogurt, honey, strawberries, and granola in a glass. Serve chilled.",15.3,27,7,Soft Drink
"Ricotta, Sugar, Vanilla",Cannoli,45,Italian,"Mix flour, sugar, and butter into a dough. Roll and fry into tubes. Fill with sweet ricotta and chocolate chips.",22.9,16,7,Fruit Juice
"Pistachios, Saffron, Cream",Pista Kulfi,40,Indian," Boil milk until thick. Add sugar, cardamom, and pistachios. Pour into molds and freeze.",10.2,19,5,Fruit Juice
"Chia Seeds, Milk, Honey",Chia Seed Pudding,10,Healthy," Mix chia seeds, milk, honey, and vanilla. Refrigerate overnight and serve cold.",18.2,19,4,Kulfi
"Coconut Milk, Turmeric, Ginger",Spiced Coconut Latte,15,Ayurvedic, Brew coffee. Heat coconut milk with cinnamon and cloves. Mix and serve hot.,18.6,17,4,Milkshake
"Lemongrass, Honey, Tea Leaves",Lemongrass Herbal Tea,15,Thai,"Boil water with lemongrass, ginger, and honey. Strain and serve hot.",3.4,16,3,Fruit Juice
"Cocoa, Coffee, Cinnamon",Mexican Hot Chocolate,20,Mexican,"Heat milk with cocoa, sugar, and cinnamon. Add chili powder for spice.",15.1,19,4,Kulfi
"Apple, Ginger, Cloves",Hot Spiced Apple Cider,25,Western,"Simmer apple juice with cinnamon, cloves, star anise, orange slices.",6.2,28,4,Soft Drink
"Rose Petals, Milk, Honey",Rose Latte,20,Middle Eastern,"Brew espresso, mix with rose syrup, steamed milk, top with petals.",2.1,25,5,Soft Drink
"Carrots, Ginger, Orange Juice",Carrot Detox Juice,10,Healthy,"Juice carrots, ginger, lemon, apples, strain, serve chilled.",4.4,15,3,Soft Drink
"Green Tea, Basil, Honey",Holy Basil Tea,15,Herbal,"Boil tulsi leaves with ginger, honey, lemon, strain.",15.6,15,3,Kulfi
"Beetroot, Orange, Lemon",Beet Citrus Juice,15,Detox,"Juice beetroot, orange, lemon, ginger, strain, serve chilled.",12,25,3,Fruit Juice
"Espresso, Chocolate, Milk",Mocha Latte,10,Italian,"Brew espresso, mix with hot chocolate, add steamed milk, top with cocoa powder.",28.7,17,3,Soft Drink
"Pineapple, Coconut, Lime",Tropical Sunshine Juice,10,Tropical,"Blend pineapple, orange, and mango with honey. Serve chilled.",23.8,27,4,Fruit Juice
"Sweet Corn, Milk, Butter",Creamy Sweet Corn Soup,30,Western,"Blend boiled corn with milk, butter, garlic, season with pepper",25.2,26,5,Soft Drink
"Pumpkin, Coconut Milk, Ginger",Thai Pumpkin Soup,35,Thai,"Simmer pumpkin, coconut milk, ginger, and lemongrass. Blend and serve hot.",17.1,22,4,Kulfi
"Tomatoes, Basil, Cream",Roasted Tomatoes Basil Soup,40,Italian,"Roast tomatoes, garlic, blend with basil, olive oil, season.",12.1,32,7,Cold Coffee
"Carrot, Ginger, Coconut",Carrot Coconut Soup,30,Indian,Simmer carrots and coconut milk with ginger. Blend until smooth.,2.7,24,7,Soft Drink
"Mushrooms, Garlic, Butter",Garlic Mushroom Soup,35,European, Saute mushrooms and garlic. Add broth and simmer. Blend and season.,19.7,19,6,Fruit Juice
"Spinach, Chickpeas, Lemon",Chickpea Spinach Soup,40,Mediterranean,"Cook chickpeas, onions, garlic, tomatoes, spinach, season with cumin.",10.6,22,7,Fruit Juice
"Chicken, Lemongrass, Coconut",Tom Kha Gai,45,Thai,"Simmer chicken in coconut milk with lemongrass, galangal, lime leaves, mushrooms.",24.4,17,3,Kulfi
"Avocado, Cucumber, Yogurt",Chilled Avocado Soup,20,Mexican,"Blend avocado, cucumber, yogurt, lime, mint, chill.",26.8,15,6,Fruit Juice
"Beetroot, Sour Cream, Dill",Borscht,50,Russian,"Cook beets, cabbage, carrots, potatoes in broth, season with vinegar, dill.",16.5,27,3,Soft Drink
"Lentils, Tomatoes, Garlic",Lentil Tomatoes Soup,35,Indian,"Cook lentils with tomatoes, garlic, cumin, blend until smooth.",27.9,22,5,Fruit Punch
"Quinoa, Vegetables, Olive Oil",Mediterranean Quinoa Bowl,30,Mediterranean,"Cook quinoa, mix with chickpeas, cucumbers, tomatoes, olives, feta, lemon dressing.",25.9,20,6,Kulfi
"Rice, Coconut, Curry Leaves",Coconut Rice,25,South Indian,"Cook rice with coconut milk, water, salt, add grated coconut and pandan leaves for fragrance.",2.4,29,6,Milkshake
"Pasta, Spinach, Garlic, Cream",Spinach Alfredo Pasta,35,Italian,"boiling pasta until al dente while preparing a creamy sauce with butter, garlic, and heavy cream. Fresh spinach is added to the sauce to wilt gently, then grated parmesan cheese is stirred in for a smooth texture. The cooked pasta is tossed into the sauce, ensuring it's well-coated. It's seasoned with salt, pepper, and a hint of nutmeg, and served hot, garnished with extra parmesan and a sprinkle of herbs.",19.6,19,3,Kulfi
"Paneer, Capsicum, Gravy",Kadai Paneer,40,North Indian,"begins with heating oil in a kadai (wok), adding cumin and whole spices. Chopped onions are Sauteed until golden, followed by tomatoes cooked down into a thick masala with ginger, garlic, and ground spices like coriander, cumin, and red chili. Cubed paneer is added along with capsicum strips, cooked briefly to absorb the flavors while retaining a slight crunch. A final touch of kasuri methi and garam masala enhances the aroma before serving with naan or roti.",20.1,16,5,Fruit Juice
"Lentils, Rice, Mustard Seeds",Khichdi,30,Indian,"soaking rice and yellow moong dal. Ghee is heated in a pressure cooker with cumin, asafoetida, ginger, and green chilies. Chopped vegetables like carrots, peas, and potatoes are added. The drained rice and dal are stirred in, seasoned with turmeric and salt, and water is added for a soft consistency. Cooked under pressure, it results in a comforting, mushy dish, finished with a dollop of ghee and served hot.",12.8,20,5,Fruit Juice
"Fish, Lemon, Garlic, Olive Oil",Grilled Lemon Garlic Fish,40,Mediterranean,"marinating fish fillets in a blend of lemon juice, minced garlic, olive oil, salt, pepper, and herbs like thyme. The fish rests to absorb the flavors. It is then grilled over medium heat until golden and flaky. Basting with marinade while grilling keeps it moist. Served with lemon wedges and a side of salad or roasted vegetables.",2.4,26,3,Milkshake
"Tofu, Peanut Butter, Soy Sauce",Thai Peanut Tofu,30,Thai,"pressing tofu to remove excess moisture, then cutting it into cubes. A sauce is made from peanut butter, soy sauce, lime juice, honey, garlic, and chili. Tofu is pan-fried until golden, then coated in the sauce. It's tossed with stir-fried vegetables like bell peppers and broccoli. Garnished with sesame seeds and cilantro, served with rice or noodles.",4.1,23,5,Soft Drink
"Rice, Black Beans, Avocado",Cuban Rice Bowl,40,Cuban,"cooking rice with bay leaf and garlic. Black beans are simmered with onions, cumin, and paprika until thick and flavorful. Plantains are sliced and fried until caramelized. Everything is assembled with rice at the base, topped with beans, plantains, and avocado. Finished with a squeeze of lime and cilantro.",26,24,7,Fruit Juice
"Pumpkin, Sage, Cheese",Pumpkin Risotto,45,Italian,"Making risotto involves cooking short-grain rice, like Arborio, in a gradual process where hot broth is slowly added. The rice releases starch as it absorbs the liquid, creating a creamy consistency. Pumpkin puree or roasted pumpkin is incorporated, lending natural sweetness and a velvety texture. Butter and Parmesan cheese enrich the dish, while onions, garlic, and herbs add layers of flavor. Stirring constantly ensures even cooking and prevents sticking.",7.8,24,3,Milkshake
"Mushrooms, Rice, Spices",Mushroom Biryani,50,Indian,"This biryani begins with soaking long-grain basmati rice, ensuring each grain cooks fluffy and separate. Sliced mushrooms are Sauteed with onions, tomatoes, ginger, garlic, and aromatic spices like garam masala, cumin, and biryani masala. The mushrooms absorb the flavors while releasing their moisture. The semi-cooked rice is layered with the spiced mushroom mixture, and slow cooking (dum) allows the flavors to meld. Saffron-infused milk and fried onions add richness and aroma.",10.3,16,4,Fruit Juice
"Oats, Milk, Honey, Berries",Overnight Oats,10,Western,"Rolled oats soak in milk or yogurt overnight, absorbing the liquid and softening without heat. Chia seeds or nuts may be added for texture. Natural sweeteners like honey or maple syrup balance the earthy oats, while fruits like berries, bananas, or apples enhance freshness. As it rests, the mixture thickens, resulting in a chilled, creamy breakfast with a pudding-like consistency.",17.1,23,5,Fruit Juice
"Wheat Flour, Jaggery, Ghee",Ragi Malt,15,South Indian,"Finger millet (ragi) flour is cooked in water or milk, forming a smooth, thick porridge. Stirring continuously prevents lumps. Sweet variations include jaggery and cardamom, while savory versions incorporate buttermilk, salt, and cumin. The malt develops a nutty aroma as it thickens, with ragi's earthy flavor standing out. Cooling slightly results in a velvety, nourishing drink or porridge.",29.6,22,5,Fruit Juice
"Egg, Bread, Cheese",Cheesy Egg Toast,15,Continental,"Bread is coated with a seasoned egg mixture, often with onions, chilies, and herbs, then cooked on a hot pan. As the bread absorbs the egg, it turns golden and crisp outside, while remaining soft inside. Grated cheese is added during cooking, melting into a gooey layer. The cheese forms a crisp crust if allowed to brown slightly.",28.8,26,5,Soft Drink
"Rice, Coconut, Jaggery",Puttu,20,Kerala,"Ground rice flour is moistened until crumbly and steamed in cylindrical molds, with grated coconut layered between. Steam puffs up the flour, creating light, fluffy grains. The coconut infuses sweetness and aroma, balancing the neutral rice. When unmolded, puttu holds its cylindrical shape but crumbles easily, ready to be paired with curries or bananas.",26.6,23,3,Kulfi
"Chia Seeds, Milk, Nuts",Chia Pudding,10,Healthy,"Chia seeds absorb liquid, expanding into a gel-like texture. Mixed with milk or plant-based alternatives, the seeds swell overnight. Natural sweeteners and vanilla enhance the base. Fruits, nuts, or chocolate add variety. The pudding thickens over time, developing a creamy yet slightly chewy mouthfeel.",14.8,16,3,Fruit Juice
"Lentils, Rice, Spices",Moong Dal Chilla,20,Indian,"Split moong dal is soaked, then ground into a smooth batter. Spices, onions, and chilies are added. When spread on a hot griddle, the batter sets into a thin, savory pancake. Heat crisps the edges while keeping the inside soft. The dal's mild sweetness balances the spices, creating a protein-rich, satisfying dish.",29.9,24,4,Fruit Juice
"Semolina, Yogurt, Spices",Rava Dhokla,25,Gujarati,"Semolina (rava) is mixed with yogurt and water, forming a batter that ferments slightly. Eno or baking soda is added for aeration. When steamed, the batter rises, creating spongy, porous dhokla. A tempering of mustard seeds, curry leaves, and green chilies adds aroma and a slight crunch. The result is light and tangy, with a fluffy texture.",17.6,16,3,Fruit Juice
"Poha, Peanuts, Turmeric",Kanda Poha,15,Maharashtrian,"Flattened rice (poha) is rinsed briefly to soften without breaking. Onions (kanda) are Sauteed with mustard seeds, curry leaves, and turmeric. The poha is gently mixed in, absorbing the flavors. The grains remain separate yet tender. Peanuts provide crunch, while lemon juice adds brightness.",17.4,28,5,Kulfi
"Flour, Sugar, Butter",Pancakes,20,American,"A batter of flour, eggs, milk, sugar, and baking powder is whisked until smooth. Heat activates the leavening, causing bubbles and fluffiness. When cooked on a griddle, the batter puffs up, forming a golden crust while staying soft inside. Butter or syrup complements the mildly sweet flavor.",30,23,5,Kulfi
"Egg, Flour, Milk, Butter",French Crepes,25,French,"A thin batter of flour, eggs, milk, and butter rests to relax the gluten. Poured onto a hot pan, the batter spreads into a delicate sheet. Quick cooking results in a soft, slightly elastic texture with lacy edges. Sweet or savory fillings contrast the crepe's neutral base.",4.3,20,7,Fruit Juice
"Chickpeas, Tamarind, Spices",Chana Chaat,20,Indian,"Boiled chickpeas are combined with chopped onions, tomatoes, green chilies, and coriander. Chaat masala and lemon juice provide tanginess, while tamarind chutney adds sweetness. Crunchy sev and pomegranate seeds contrast the soft chickpeas. Flavors intensify as they mingle.",28.9,22,3,Milkshake
"Sweet Corn, Cheese, Herbs",Corn Cheese Balls,25,Indo-Western,"Mashed potatoes, corn, and cheese form a dough. Shaping into balls, they are coated in breadcrumbs. Deep frying crisps the exterior while melting the cheese inside. The outer shell is golden and crunchy, with gooey cheese and sweet corn in each bite.",20.2,18,4,Milkshake
"Potatoes, Flour, Spices",Aloo Tikki,30,North Indian,"Boiled potatoes are mashed with spices and herbs. Formed into patties, they are shallow-fried. Heat creates a crisp crust while keeping the interior soft. The starchy potatoes soak up the seasoning, resulting in a hearty, spicy snack.",10.1,21,6,Milkshake
"Noodles, Sauce, Spices",Chinese Bhel,20,Indo-Chinese,"Crispy fried noodles are tossed with julienned vegetables, schezwan sauce, and vinegar. The sauce coats each strand, balancing spicy, tangy, and sweet notes. The crunchy noodles contrast with the juicy vegetables, creating a burst of flavors.",14.6,20,4,Fruit Juice
"Bread, Potato, Chutney",Bread Pakora,25,Street Food,"Bread slices are sandwiched with spiced potato filling. Coated in gram flour batter, they are deep-fried. The batter crisps up, turning golden, while the bread inside absorbs flavors. The potato filling remains soft, balancing the crunchy exterior.",22.8,15,6,Milkshake
"Gram Flour, Yogurt, Spices",Khandvi,30,Gujarati,"Gram flour is cooked with buttermilk until thick. Stirring constantly prevents lumps. The cooked mixture is spread thin and allowed to set. Rolled into spirals, it becomes silky and delicate. A tempering of mustard seeds, sesame, and green chilies adds fragrance.",11.5,18,6,Fruit Juice
"Rice, Lentils, Spices",Masala Paniyaram,20,South Indian,"Fermented idli batter is mixed with onions, chilies, and spices. Poured into a special paniyaram pan, heat crisps the outer shell while keeping the inside airy. The fermented batter lends a slight tang, balanced by the spices.",17.3,33,14,Gulab Jamun
"Corn, Butter, Salt",Buttered Sweet Corn,10,Quick Snack,"Sweet corn kernels are steamed until tender. Melted butter coats the hot corn, enhancing sweetness. Salt, pepper, or chaat masala adds contrast. The butter clings to each kernel, creating a glossy, flavorful bite.",15.2,29,7,Soft Drink
"Cheese, Flour, Spices",Cheese Popcorn,10,Movie Night,"Popcorn kernels are heated in oil until they burst into fluffy pieces. Warm popcorn is lightly coated with butter or oil, helping powdered cheese seasoning stick. Tossing ensures even coverage. The cheese melts slightly, forming a savory coating over the crisp popcorn.",4,23,7,Milkshake
"Mashed Potatoes, Herbs, Cheese",Potato Cheese Pops,20,Fusion,"Mashed potatoes are mixed with grated cheese, spices, and breadcrumbs to form a smooth, flavorful mixture. This is shaped into small balls, coated with more breadcrumbs, and deep-fried until golden and crispy.",12.9,45,11,Lemonade
"Rice, Milk, Sugar, Cardamom",Kheer,40,Indian,"Rice is slowly simmered in milk with sugar, cardamom, and saffron until it becomes rich and creamy. Nuts and raisins are added for extra flavor and texture, giving the dessert a delightful aroma.",13.9,20,7,Soft Drink
"Chocolate, Cream, Eggs",Chocolate Mousse,35,French,"Melted chocolate is blended with whipped cream and sugar to create a light, airy texture. Sometimes, eggs or gelatin are incorporated for a firmer consistency. It is chilled until set and served cold.",15.2,29,7,Milkshake
"Bread, Milk, Nuts",Shahi Tukda,30,Mughlai,"Bread slices are fried in ghee until crispy and golden, then soaked in sugar syrup. They are topped with thickened, sweetened milk (rabri) infused with cardamom and saffron, garnished with nuts.",11.6,19,3,Fruit Juice
"Milk, Sugar, Saffron",Basundi,45,Maharashtrian,"Milk is boiled and reduced to a thick consistency while stirring frequently. Sugar, cardamom, and saffron are added, along with chopped nuts, creating a rich, aromatic dessert.",6.6,26,4,Milkshake
"Flour, Butter, Sugar",Apple Pie,50,American,"A sweet and spiced apple filling is prepared with sugar, cinnamon, and lemon juice. It is encased in a buttery, flaky crust and baked until golden brown, with the filling bubbling inside.",13.3,22,7,Milkshake
"Almond Flour, Honey, Rose Water",Baklava,45,Middle Eastern,"Layers of thin phyllo pastry are brushed with butter and filled with chopped nuts. After baking to a crisp, it is drenched in fragrant sugar syrup flavored with honey, lemon, and rosewater.",15.5,24,7,Milkshake
"Mango, Yogurt, Sugar",Mango Lassi,10,Indian,"Fresh ripe mango pulp is blended with yogurt, sugar, and cardamom to create a smooth, creamy drink. A splash of milk or water is sometimes added for desired consistency.",27.7,15,6,Soft Drink
"Coconut, Sugar, Ghee",Coconut Barfi,25,Indian,"Grated coconut is cooked with sugar and milk until thick and sticky. It is flavored with cardamom and ghee, then pressed into a tray and cut into squares once cooled.",8.3,29,5,Soft Drink
"Banana, Cream, Chocolate",Banana Split,15,American,"A banana is halved lengthwise and placed in a dish. Scoops of vanilla, chocolate, and strawberry ice cream are arranged on top, with chocolate syrup, nuts, whipped cream, and a cherry as toppings.",19.7,19,3,Soft Drink
"Rice Flour, Sugar, Coconut",Kozhukattai,30,South Indian,"Rice flour dough is kneaded with hot water to form a smooth paste. A sweet filling of grated coconut and jaggery is prepared, and the dough is shaped around this filling into dumplings, which are steamed.",16.9,28,5,Soft Drink
"Tea Leaves, Milk, Ginger",Masala Chai,15,Indian,"Tea leaves are boiled with water, milk, and a blend of spices like cardamom, ginger, cloves, and cinnamon. Sugar is added for sweetness, creating a rich, spiced tea.",21.1,31,8,Vanilla Ice Cream
"Cocoa, Sugar, Milk",Hot Chocolate,20,Western,"Milk is heated and mixed with cocoa powder, sugar, and sometimes chocolate pieces until smooth and creamy. It is served hot, topped with whipped cream or marshmallows.",19.6,21,6,Fruit Juice
"Carrots, Beetroot, Ginger",Carrot Beet Juice,10,Detox,"Fresh carrots and beets are blended or juiced together. A bit of ginger and lemon juice may be added for a refreshing, earthy flavor.",29.9,18,7,Kulfi
"Pineapple, Coconut Milk",Pi a Colada,10,Tropical,"Fresh pineapple juice is blended with coconut cream and ice, with or without rum. It is served chilled, often garnished with pineapple slices.",13.7,28,6,Milkshake
"Lemon, Honey, Water",Honey Lemon Tea,10,Herbal,"Hot water is infused with tea and mixed with honey and lemon juice, creating a soothing, slightly tangy beverage.",22.3,22,6,Fruit Juice
"Coffee, Chocolate, Cinnamon",Mocha Latte,15,Italian,"Espresso is blended with steamed milk and cocoa powder or chocolate syrup. It is topped with foam and sometimes whipped cream for a rich, chocolatey coffee experience.",7.7,27,3,Kulfi
"Rose Petals, Sugar, Milk",Rose Milk,10,Refreshing,"Chilled milk is sweetened and flavored with rose syrup, giving it a delicate floral aroma and a pink hue. Often served cold with ice cubes.",6.3,17,4,Soft Drink
"Basil, Lemongrass, Tea Leaves",Herbal Infusion,15,Ayurvedic,"Dried herbs like mint, chamomile, or lemongrass are steeped in hot water to extract their flavors. It is enjoyed warm, often without sugar.",20,29,4,Kulfi
"Oranges, Carrots, Ginger",Orange Sunrise Juice,10,Healthy,"Freshly squeezed orange juice is blended with carrot juice and a splash of lemon. It is served chilled, offering a vibrant, citrusy burst.",2.4,18,7,Kulfi
"Turmeric, Milk, Black Pepper",Golden Milk,10,Immunity Booster,"Milk is simmered with turmeric, black pepper, and a touch of honey or sugar. Sometimes ginger and cinnamon are added, creating a warm, anti-inflammatory drink.",23.2,28,5,Fruit Juice
"Tomatoes, Garlic, Basil",Tomatoes Basil Soup,30,Italian,"Fresh tomatoes are cooked down with onions, garlic, and basil. Blended to a smooth consistency, it is finished with cream or olive oil for richness.",12.3,25,6,Kheer
"Corn, Cream, Butter",Creamy Corn Soup,30,Western,"Sweet corn kernels are simmered with onions, garlic, and vegetable stock. Cream is added, and the soup is blended partially to maintain some texture. It is seasoned with salt and pepper for a comforting, velvety finish.",6.5,17,7,Fruit Juice
"Lentils, Tomatoes, Garlic",Dal Soup,35,Indian,"Lentils are cooked until soft with water, onions, garlic, and tomatoes. The mixture is seasoned with turmeric, cumin, and coriander, then blended for a smooth texture or left chunky, garnished with cilantro.",19.2,22,6,Milkshake
"Mushrooms, Garlic, Butter",Mushroom Soup,35,Continental,"Fresh mushrooms are Sauteed with onions and garlic in butter until tender. Flour is added for thickening, followed by stock and cream, simmering to create a rich, earthy soup.",28.3,16,5,Milkshake
"Pumpkin, Coconut, Ginger",Thai Pumpkin Soup,40,Thai,"Pumpkin is cooked with coconut milk, ginger, garlic, and Thai red curry paste. Blended until smooth, it becomes a velvety, aromatic soup with a hint of spice.",25.4,20,5,Fruit Juice
"Spinach, Cheese, Cream",Creamy Spinach Soup,30,Mediterranean,"Fresh spinach is simmered with onions, garlic, and vegetable stock. Cream is added before blending the mixture into a smooth, vibrant green soup.",2.5,21,4,Kulfi
"Beetroot, Yogurt, Dill",Cold Beet Soup,20,Russian,"Boiled beets are blended with yogurt, garlic, and dill for a chilled, tangy soup with a striking pink color, served cold.",2.8,22,3,Kulfi
"Carrots, Ginger, Coconut",Carrot Coconut Soup,30,Indian,"Carrots are cooked with onions, ginger, and coconut milk. Once tender, the mixture is blended to create a silky, sweet, and slightly spiced soup.",28.7,20,7,Milkshake
"Chicken, Lemongrass, Coconut",Tom Kha Gai,45,Thai,"Chicken is simmered in coconut milk with lemongrass, galangal, kaffir lime leaves, and mushrooms. Fish sauce and lime juice balance the rich and tangy flavors.",8.2,22,7,Milkshake
"Rice, Fish, Ginger",Fish Congee,50,Chinese,"Rice is slow-cooked in water or stock until it breaks down into a thick porridge. Sliced fish is added towards the end, with ginger, scallions, and soy sauce for a comforting meal.",8.4,19,4,Fruit Juice
"Millet Flour, Jaggery, Nuts",Bajra Porridge,20,Rajasthani,"Bajra (pearl millet) is cooked with water or milk until it becomes soft and porridge-like. Jaggery or sugar is added for sweetness, with cardamom for flavor.",19.5,17,5,Soft Drink
"Vermicelli, Milk, Cardamom",Seviyan Kheer,25,Mughlai,"Vermicelli is roasted in ghee and simmered in milk until soft. Sugar, cardamom, and nuts are added, creating a creamy dessert.",6.6,23,6,Fruit Juice
"Eggs, Spinach, Cheese",Spinach Omelette,15,Healthy,"Eggs are whisked with chopped spinach, onions, and spices. The mixture is cooked in a pan until fluffy and golden.",26.8,18,3,Soft Drink
"Chickpea Flour, Turmeric, Yogurt",Besan Chilla,20,Indian,"Gram flour is mixed with water, spices, onions, and green chilies to form a batter. It is poured onto a hot pan and cooked until golden and crisp.",6.3,18,3,Kulfi
"Banana, Oats, Peanut Butter",Peanut Butter Banana Smoothie,10,High-Protein,"Bananas are blended with peanut butter, milk, and honey to create a creamy, nutritious drink.",27.1,16,4,Kulfi
"Rice, Coconut, Jaggery",Idiyappam with Coconut Milk,25,South Indian,"Rice flour dough is pressed into thin noodles and steamed. Served with sweetened coconut milk, flavored with cardamom.",24.1,17,3,Fruit Juice
"Sweet Potatoes, Honey, Cinnamon",Sweet Potato Mash,15,Vegan,"Boiled sweet potatoes are mashed with butter, milk, and a touch of salt and pepper, resulting in a smooth, creamy side dish.",11.2,43,11,Chocolate Shake
"Avocado, Toast, Poached Egg",Avocado Toast with Egg,10,Continental,"Mashed avocado is spread on toasted bread, seasoned with salt, pepper, and lemon. A fried or poached egg is placed on top.",20.5,29,3,Milkshake
"Multigrain Flour, Butter, Sugar",Multigrain Pancakes,20,American,"A batter is made with a mix of whole grains, milk, eggs, and a touch of sweetener. It is cooked on a griddle until fluffy and golden.",10.6,15,7,Kulfi
"Moong Dal, Green Chilies, Curd",Moong Dal Sprout Salad,10,Protein-Rich,"Sprouted moong dal is mixed with chopped cucumbers, tomatoes, onions, and lemon juice for a refreshing salad.",2.6,19,4,Kulfi
"Flattened Rice, Peanuts, Onions",Jhalmuri,10,Bengali,"Puffed rice is tossed with chopped onions, tomatoes, green chilies, mustard oil, and spices for a crunchy, tangy snack.",19.6,20,4,Milkshake
"Cheese, Potato, Flour",Cheesy Potato Wedges,25,American,"Potatoes are cut into wedges, seasoned, and baked or fried until crisp. Melted cheese is drizzled over before serving.",13.5,41,8,Chocolate Shake
"Sago, Peanuts, Potatoes",Sabudana Vada,30,Maharashtrian,"Soaked sabudana is mixed with mashed potatoes, peanuts, and spices. Shaped into patties and deep-fried to golden perfection.",12,25,3,Milkshake
"Spinach, Chickpea Flour, Spices",Palak Pakora,20,North Indian,Spinach leaves are coated in gram flour batter with spices and deep-fried until crispy.,11.3,26,4,Milkshake
"Chicken, Spices, Flour",Chicken Lollipop,30,Indo-Chinese,"Chicken wings are frenched and marinated in spices, then coated in batter and deep-fried until crispy.",26.5,20,5,Fruit Juice
"Green Peas, Cheese, Spices",Matar Kachori,35,Rajasthani,"Dough is filled with a spiced green pea mixture and deep-fried, resulting in a flaky, savory snack.",15.5,27,6,Milkshake
"Bread, Cheese, Jalapenos",Cheesy Jalapeno Poppers,25,Tex-Mex,"Jalapenos are stuffed with a cheese mixture, coated in breadcrumbs, and fried until crispy, with melted cheese inside.",9.4,16,4,Milkshake
"Potatoes, Butter, Garlic",Garlic Butter Fries,20,Fast Food,"Fresh potatoes are peeled and cut into thin strips, then soaked in water to remove excess starch. They are drained, patted dry, and fried in hot oil until golden and crisp. Alternatively, they can be baked in the oven with a drizzle of oil. While the fries are still hot, they are tossed in a mixture of melted butter infused with finely minced garlic, salt, and herbs like parsley, giving them a rich, savory coating.",12.9,22,4,Fruit Juice
"Paneer, Capsicum, Tandoori Masala",Tandoori Paneer Tikka,30,Punjabi,"Paneer cubes are marinated in yogurt, spices, and lemon juice, then grilled or roasted until charred, with a smoky aroma.",3,25,6,Kulfi
"Sweet Potatoes, Olive Oil, Paprika",Baked Sweet Potato Fries,30,Healthy,"Sweet potatoes are sliced into fries, coated in oil and spices, and baked until crisp and caramelized.",3.8,47,9,Tea
"Almonds, Milk, Saffron",Badam Halwa,40,South Indian,"Almonds are soaked in hot water and peeled. They are ground into a paste with little water or milk. In a heavy-bottomed pan, ghee is heated, and the almond paste is cooked slowly. Sugar and saffron-soaked milk are added, and the mixture is stirred continuously until thick and aromatic. Cardamom powder is added before serving.",24.3,15,6,Kulfi
"Sesame Seeds, Jaggery",Tilgul Ladoo,25,Maharashtrian,"Sesame seeds are dry roasted until golden and aromatic. Jaggery is melted in a pan with ghee until it forms a syrup. The roasted sesame seeds are mixed into the jaggery syrup, and the mixture is shaped into small round balls while warm.",10.7,23,5,Milkshake
